sentID,congruency,target,ek_target
1,no,"Quando la mamma mi ha abbracciato, era troppo tardi, non ce l'ho fatta a rugobare.","Quando la mamma mi ha abbracciato, era troppo tardi, non ce l'ho fatta a [rugobare]{baseword}."
2,no,"Anche quando si parla della scienza, Maria riesce a zudulare.","Anche quando si parla della scienza, Maria riesce a [zudulare]{baseword}."
3,yes,"Marco è un bel ragazzo ma non sa accettare i complimenti, deve smettere di mudegare.","Marco è un bel ragazzo ma non sa accettare i complimenti, deve smettere di [mudegare]{baseword}."
4,no,"Siccome ogni giorno parla con sua madre, Giovanni non è mai ceburo.","Siccome ogni giorno parla con sua madre, Giovanni non è mai [ceburo]{baseword}."
5,yes,"Quando sua moglie ha fatto la scenata al ristorante, Mario era vutuvo.","Quando sua moglie ha fatto la scenata al ristorante, Mario era [vutuvo]{baseword}."
6,no,"Facendo l'avvocato uno si stressa tanto e vive male, Tommaso ha fatto una scelta tobufa.","Facendo l'avvocato uno si stressa tanto e vive male, Tommaso ha fatto una scelta [tobufa]{baseword}."
7,yes,Selena spera che sua figlia sarà più brava a scuola se ogni giorno le canta un clivuno.,Selena spera che sua figlia sarà più brava a scuola se ogni giorno le canta un [clivuno]{baseword}.
8,no,"Ormai non rispondo più alle chiamate dei genitori, può essere solo un vicrazo.","Ormai non rispondo più alle chiamate dei genitori, può essere solo un [vicrazo]{baseword}."
9,no,"Tra gli amici da vari paesi da tutto il mondo, Marta ha un meraviglioso cettobo.","Tra gli amici da vari paesi da tutto il mondo, Marta ha un meraviglioso [cettobo]{baseword}."
10,yes,"Stanca dalla vita in città in un grattacielo, Rita è andata a vivere in un criboto.","Stanca dalla vita in città in un grattacielo, Rita è andata a vivere in un [criboto]{baseword}."
11,yes,Ho un vestito di sera che sta molto bene con il mio nuovo mernido.,Ho un vestito di sera che sta molto bene con il mio nuovo [mernido]{baseword}.
12,no,Gli alpinisti appassionati pagano tanto per avere un pubbano.,Gli alpinisti appassionati pagano tanto per avere un [pubbano]{baseword}.
13,no,Ho visto nella vetrina della Lidl che hanno un nuovo dorguvo.,Ho visto nella vetrina della Lidl che hanno un nuovo [dorguvo]{baseword}.
14,yes,"Invece di leggere una storia a lieto fine, la piccola Sara preferisce uno slibado.","Invece di ascoltare una storia a lieto fine, la piccola Sara preferisce un [slibado]{baseword}."
15,yes,"Roberto non ci permette di picchiarci nemmeno giocando, è il nostro cridolo.","Roberto non ci permette di picchiarci nemmeno giocando, è il nostro [cridolo]{baseword}."
16,yes,Alessio può mangiare solo i dessert senza frutta perché è un ceveco.,Alessio può mangiare solo i dessert senza frutta perché è un [ceveco]{baseword}.
17,no,"Tra le altre cose, Michele ha dovuto imparare a leggere per diventare vugipo.","Tra le altre cose, Michele ha dovuto imparare a leggere per diventare [vugipo]{baseword}."
18,yes,Mi piace troppo essere il migliore per poter essere un pobedo.,Mi piace troppo essere il migliore per poter essere un [pobedo]{baseword}.
